;link;regiao;area;populacao;idh
55;https://pt.wikipedia.org/wiki/Vargem_Grande_(bairro_do_Rio_de_Janeiro);Vargem Grande;1.0;102.0;0.876
56;https://pt.wikipedia.org/wiki/Vargem_Pequena;Vargem Pequena;1.0;102.0;0.876
57;https://pt.wikipedia.org/wiki/Vila_Valqueire;Vila Valqueire;1.0;102.0;0.876
58;https://pt.wikipedia.org/wiki/Jardim_Sulacap;Jardim Sulacap;1.0;102.0;0.876
59;https://pt.wikipedia.org/wiki/Grande_Bangu;Grande Bangu;1.0;102.0;0.876
60;https://pt.wikipedia.org/wiki/Bangu;Bangu;4.0;243.125;0.794
61;https://pt.wikipedia.org/wiki/Campo_dos_Afonsos;Campo dos Afonsos;4.0;1.365;0.794
62;https://pt.wikipedia.org/wiki/Deodoro_(bairro_do_Rio_de_Janeiro);Deodoro;464.05;10.842;0.856
63;https://pt.wikipedia.org/wiki/Gericin%C3%B3;Gericinó;464.06;15.167;0.857
64;https://pt.wikipedia.org/wiki/Bairro_Jabour;Jabour;464.07;15.167;0.858
65;https://pt.wikipedia.org/wiki/Magalh%C3%A3es_Bastos;Magalhães Bastos;464.08;15.167;0.859
66;https://pt.wikipedia.org/wiki/Padre_Miguel;Padre Miguel;464.09;15.167;0.860
67;https://pt.wikipedia.org/wiki/Realengo_(Rio_de_Janeiro);Realengo;464.10;15.167;0.861
68;https://pt.wikipedia.org/wiki/Sant%C3%ADssimo_(Rio_de_Janeiro);Santíssimo;464.11;15.167;0.862
69;https://pt.wikipedia.org/wiki/Senador_Camar%C3%A1;Senador Camará;464.12;15.167;0.863
70;https://pt.wikipedia.org/wiki/Vila_Kennedy;Vila Kannedy;464.13;15.167;0.864
71;https://pt.wikipedia.org/wiki/Vila_Militar_(bairro_do_Rio_de_Janeiro);Vila Militar;464.14;15.167;0.865
72;https://pt.wikipedia.org/wiki/Subprefeitura_da_Zona_Oeste_(Rio_de_Janeiro);Zona Oeste;464.15;15.167;0.866
73;https://pt.wikipedia.org/wiki/Barra_de_Guaratiba;Barra de Guaratiba;464.16;15.167;0.867
74;https://pt.wikipedia.org/wiki/Campo_Grande_(bairro_do_Rio_de_Janeiro);Campo Grande;11.0;328.0;0.81
75;https://pt.wikipedia.org/wiki/Cosmos_(bairro_do_Rio_de_Janeiro);Cosmos;11.0;328.0;0.81
76;https://pt.wikipedia.org/wiki/Guaratiba;Guaratiba;13.0;110.0;0.744
77;https://pt.wikipedia.org/wiki/Inhoa%C3%ADba;Inhoaíba;13.0;110.0;0.744
78;https://pt.wikipedia.org/wiki/Paci%C3%AAncia_(bairro_do_Rio_de_Janeiro);Paciência;13.0;110.0;0.744
79;https://pt.wikipedia.org/wiki/Pedra_de_Guaratiba;Pedra de Guaratiba;13.0;110.0;0.744
80;https://pt.wikipedia.org/wiki/Santa_Cruz_(bairro_do_Rio_de_Janeiro);Santa Cruz;12.0;217.0;0.742
81;https://pt.wikipedia.org/wiki/Senador_Vasconcelos;Senador Vasconcelos;12.0;217.0;0.742
82;https://pt.wikipedia.org/wiki/Sepetiba;Sepetiba;12.0;217.0;0.742
83;https://pt.wikipedia.org/wiki/Zona_Norte_(Rio_de_Janeiro);Zona Norte;12.0;217.0;0.742
84;https://pt.wikipedia.org/wiki/Grande_Tijuca;Grande Tijuca;12.0;217.0;0.742
85;https://pt.wikipedia.org/wiki/Alto_da_Boa_Vista_(Rio_de_Janeiro);Alto da Boa Vista;3149.57;9.0;0.926
86;https://pt.wikipedia.org/wiki/Andara%C3%AD_(bairro);Andaraí;226.13;39.0;0.909
87;https://pt.wikipedia.org/wiki/Graja%C3%BA_(bairro_do_Rio_de_Janeiro);Grajaú;573.91;38.0;0.938
88;https://pt.wikipedia.org/wiki/Maracan%C3%A3_(bairro_do_Rio_de_Janeiro);Maracanã;166.73;25.256;0.944
89;https://pt.wikipedia.org/wiki/Pra%C3%A7a_da_Bandeira_(bairro_do_Rio_de_Janeiro);Praia da Bandeira;71.99;8.662;0.867
90;https://pt.wikipedia.org/wiki/Tijuca;Tijuca;71.99;8.662;0.867
91;https://pt.wikipedia.org/wiki/Vila_Isabel;Vila Isabel;321.71;86.018;0.901
92;https://pt.wikipedia.org/wiki/Grande_M%C3%A9ier;Grande Méier;321.71;86.018;0.901
93;https://pt.wikipedia.org/wiki/Aboli%C3%A7%C3%A3o_(Rio_de_Janeiro);Abolição;321.71;86.018;0.901
94;https://pt.wikipedia.org/wiki/%C3%81gua_Santa_(bairro);Água Santa;321.71;86.018;0.901
95;https://pt.wikipedia.org/wiki/Cachambi;Cachambi;321.71;86.018;0.901
