,link,area,populacao,idh
40,https://pt.wikipedia.org/wiki/Camorim,4.0,394.0,0.972
41,https://pt.wikipedia.org/wiki/Cidade_de_Deus_(bairro_do_Rio_de_Janeiro),120.58,36.0,0.751
42,https://pt.wikipedia.org/wiki/Curicica,333.96,31.0,0.828
43,https://pt.wikipedia.org/wiki/Freguesia_(Jacarepagu%C3%A1),1.0,70.511,0.898
44,https://pt.wikipedia.org/wiki/Gard%C3%AAnia_Azul,1.0,70.511,0.898
45,https://pt.wikipedia.org/wiki/Grumari,1.0,70.511,0.898
46,https://pt.wikipedia.org/wiki/Itanhang%C3%A1_(Rio_de_Janeiro),1.0,70.511,0.898
47,https://pt.wikipedia.org/wiki/Jacarepagu%C3%A1,7579.64,157.326,
48,https://pt.wikipedia.org/wiki/Jo%C3%A1,7579.64,157.326,
49,https://pt.wikipedia.org/wiki/Pra%C3%A7a_Seca,7579.64,157.326,
50,https://pt.wikipedia.org/wiki/Pechincha_(bairro),7579.64,157.326,
51,https://pt.wikipedia.org/wiki/Rio_das_Pedras_(bairro_do_Rio_de_Janeiro),7579.64,157.326,
52,https://pt.wikipedia.org/wiki/Recreio_dos_Bandeirantes,3.0,82.24,0.894
53,https://pt.wikipedia.org/wiki/Tanque_(bairro),3.0,82.24,0.894
54,https://pt.wikipedia.org/wiki/Taquara_(Rio_de_Janeiro),1.0,102.0,0.876
55,https://pt.wikipedia.org/wiki/Vargem_Grande_(bairro_do_Rio_de_Janeiro),1.0,102.0,0.876
56,https://pt.wikipedia.org/wiki/Vargem_Pequena,1.0,102.0,0.876
57,https://pt.wikipedia.org/wiki/Vila_Valqueire,1.0,102.0,0.876
58,https://pt.wikipedia.org/wiki/Jardim_Sulacap,1.0,102.0,0.876
59,https://pt.wikipedia.org/wiki/Grande_Bangu,1.0,102.0,0.876
60,https://pt.wikipedia.org/wiki/Bangu,4.0,,0.794
61,https://pt.wikipedia.org/wiki/Campo_dos_Afonsos,4.0,,0.794
62,https://pt.wikipedia.org/wiki/Deodoro_(bairro_do_Rio_de_Janeiro),4.0,,0.794
63,https://pt.wikipedia.org/wiki/Gericin%C3%B3,,15.167,
64,https://pt.wikipedia.org/wiki/Bairro_Jabour,,,
65,https://pt.wikipedia.org/wiki/Magalh%C3%A3es_Bastos,,15.167,
66,https://pt.wikipedia.org/wiki/Padre_Miguel,,15.167,
67,https://pt.wikipedia.org/wiki/Realengo_(Rio_de_Janeiro),,15.167,
68,https://pt.wikipedia.org/wiki/Sant%C3%ADssimo_(Rio_de_Janeiro),,15.167,
69,https://pt.wikipedia.org/wiki/Senador_Camar%C3%A1,,15.167,
70,https://pt.wikipedia.org/wiki/Vila_Kennedy,,15.167,
71,https://pt.wikipedia.org/wiki/Vila_Militar_(bairro_do_Rio_de_Janeiro),,15.167,
72,https://pt.wikipedia.org/wiki/Subprefeitura_da_Zona_Oeste_(Rio_de_Janeiro),,15.167,
73,https://pt.wikipedia.org/wiki/Barra_de_Guaratiba,,15.167,
74,https://pt.wikipedia.org/wiki/Campo_Grande_(bairro_do_Rio_de_Janeiro),11.0,328.0,0.81
75,https://pt.wikipedia.org/wiki/Cosmos_(bairro_do_Rio_de_Janeiro),11.0,328.0,0.81
76,https://pt.wikipedia.org/wiki/Guaratiba,13.0,110.0,0.744
77,https://pt.wikipedia.org/wiki/Inhoa%C3%ADba,13.0,110.0,0.744
78,https://pt.wikipedia.org/wiki/Paci%C3%AAncia_(bairro_do_Rio_de_Janeiro),13.0,110.0,0.744
79,https://pt.wikipedia.org/wiki/Pedra_de_Guaratiba,13.0,110.0,0.744
80,https://pt.wikipedia.org/wiki/Santa_Cruz_(bairro_do_Rio_de_Janeiro),12.0,217.0,0.742
81,https://pt.wikipedia.org/wiki/Senador_Vasconcelos,12.0,217.0,0.742
82,https://pt.wikipedia.org/wiki/Sepetiba,12.0,217.0,0.742
83,https://pt.wikipedia.org/wiki/Zona_Norte_(Rio_de_Janeiro),12.0,217.0,0.742
84,https://pt.wikipedia.org/wiki/Grande_Tijuca,,,
85,https://pt.wikipedia.org/wiki/Alto_da_Boa_Vista_(Rio_de_Janeiro),3149.57,9.0,0.926
86,https://pt.wikipedia.org/wiki/Andara%C3%AD_(bairro),226.13,39.0,0.909
87,https://pt.wikipedia.org/wiki/Graja%C3%BA_(bairro_do_Rio_de_Janeiro),573.91,38.0,0.938
88,https://pt.wikipedia.org/wiki/Maracan%C3%A3_(bairro_do_Rio_de_Janeiro),166.73,25.256,0.944
89,https://pt.wikipedia.org/wiki/Pra%C3%A7a_da_Bandeira_(bairro_do_Rio_de_Janeiro),71.99,8.662,0.867
90,https://pt.wikipedia.org/wiki/Tijuca,71.99,8.662,0.867
91,https://pt.wikipedia.org/wiki/Vila_Isabel,321.71,86.018,0.901
92,https://pt.wikipedia.org/wiki/Grande_M%C3%A9ier,321.71,86.018,0.901
93,https://pt.wikipedia.org/wiki/Aboli%C3%A7%C3%A3o_(Rio_de_Janeiro),321.71,86.018,0.901
94,https://pt.wikipedia.org/wiki/%C3%81gua_Santa_(bairro),321.71,86.018,0.901
95,https://pt.wikipedia.org/wiki/Cachambi,321.71,86.018,0.901
96,https://pt.wikipedia.org/wiki/Del_Castilho,321.71,86.018,0.901
97,https://pt.wikipedia.org/wiki/Encantado_(bairro_do_Rio_de_Janeiro),321.71,86.018,0.901
98,https://pt.wikipedia.org/wiki/Engenho_de_Dentro,321.71,86.018,0.901
99,https://pt.wikipedia.org/wiki/Engenho_Novo,321.71,86.018,0.901
100,https://pt.wikipedia.org/wiki/Higien%C3%B3polis_(bairro_do_Rio_de_Janeiro),115.75,15.0,0.882
101,https://pt.wikipedia.org/wiki/Jacar%C3%A9_(bairro_do_Rio_de_Janeiro),84.26,9.0,0.839
102,https://pt.wikipedia.org/wiki/Jacarezinho_(bairro_do_Rio_de_Janeiro),84.26,9.0,0.839
103,https://pt.wikipedia.org/wiki/Lins_de_Vasconcelos_(bairro_do_Rio_de_Janeiro),84.26,9.0,0.839
104,https://pt.wikipedia.org/wiki/Manguinhos_(bairro_do_Rio_de_Janeiro),261.84,36.0,0.726
105,https://pt.wikipedia.org/wiki/Maria_da_Gra%C3%A7a_(bairro_do_Rio_de_Janeiro),82.5,7.0,0.86
106,https://pt.wikipedia.org/wiki/M%C3%A9ier,247.09,49.828,0.931
107,https://pt.wikipedia.org/wiki/Piedade_(bairro_do_Rio_de_Janeiro),247.09,49.828,0.931
108,https://pt.wikipedia.org/wiki/Pilares,247.09,49.828,0.931
109,https://pt.wikipedia.org/wiki/Riachuelo_(bairro_do_Rio_de_Janeiro),247.09,49.828,0.931
110,https://pt.wikipedia.org/wiki/Rocha_(bairro_do_Rio_de_Janeiro),247.09,49.828,0.931
111,https://pt.wikipedia.org/wiki/Sampaio_(bairro),247.09,49.828,0.931
112,https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_Xavier_(bairro_do_Rio_de_Janeiro),247.09,49.828,0.931
113,https://pt.wikipedia.org/wiki/Todos_os_Santos_(Rio_de_Janeiro),247.09,49.828,0.931
114,https://pt.wikipedia.org/wiki/Ilha_do_Governador,,,
115,https://pt.wikipedia.org/wiki/Zona_da_Leopoldina,,,
116,https://pt.wikipedia.org/wiki/Bonsucesso,219.97,18.0,0.861
117,https://pt.wikipedia.org/wiki/Banc%C3%A1rios_(Rio_de_Janeiro),219.97,18.0,0.861
118,https://pt.wikipedia.org/wiki/Cacuia_(Rio_de_Janeiro),219.97,18.0,0.861
119,https://pt.wikipedia.org/wiki/Cidade_Universit%C3%A1ria_da_Universidade_Federal_do_Rio_de_Janeiro,945.83,1.0,0.778
120,https://pt.wikipedia.org/wiki/Cocot%C3%A1,945.83,1.0,0.778
121,https://pt.wikipedia.org/wiki/Freguesia_(Ilha_do_Governador),405.64,19.437,0.839
122,https://pt.wikipedia.org/wiki/Gale%C3%A3o_(bairro),405.64,19.437,0.839
123,https://pt.wikipedia.org/wiki/Jardim_Carioca,405.64,19.437,0.839
124,https://pt.wikipedia.org/wiki/Jardim_Guanabara_(bairro_do_Rio_de_Janeiro),405.64,19.437,0.839
125,https://pt.wikipedia.org/wiki/Mar%C3%A9_(bairro),426.88,129.0,0.722
126,https://pt.wikipedia.org/wiki/Moner%C3%B3,426.88,129.0,0.722
127,https://pt.wikipedia.org/wiki/Olaria_(bairro_do_Rio_de_Janeiro),368.98,57.0,0.853
128,https://pt.wikipedia.org/wiki/Pitangueiras_(bairro_do_Rio_de_Janeiro),368.98,57.0,0.853
129,https://pt.wikipedia.org/wiki/Portuguesa_(bairro),118.64,23.856,0.904
130,https://pt.wikipedia.org/wiki/Praia_da_Bandeira_(bairro),37.94,5.948,0.858
131,https://pt.wikipedia.org/wiki/Ramos,37.94,5.948,0.858
132,https://pt.wikipedia.org/wiki/Ribeira_(Rio_de_Janeiro),86.19,3.528,0.859
133,https://pt.wikipedia.org/wiki/Tau%C3%A1_(bairro),86.19,3.528,0.859
134,https://pt.wikipedia.org/wiki/Zumbi_(bairro_do_Rio_de_Janeiro),86.19,3.528,0.859
135,https://pt.wikipedia.org/wiki/Subprefeitura_da_Zona_Norte_da_cidade_do_Rio_de_Janeiro,,,
136,https://pt.wikipedia.org/wiki/Acari_(bairro_do_Rio_de_Janeiro),160.55,27.0,0.72
137,https://pt.wikipedia.org/wiki/Anchieta_(bairro_do_Rio_de_Janeiro),434.57,55.0,0.788
138,https://pt.wikipedia.org/wiki/Barros_Filho,172.39,14.0,0.75
139,https://pt.wikipedia.org/wiki/Bento_Ribeiro_(bairro_do_Rio_de_Janeiro),172.39,14.0,0.75
140,https://pt.wikipedia.org/wiki/Br%C3%A1s_de_Pina,352.22,59.0,0.835
141,https://pt.wikipedia.org/wiki/Campinho_(bairro_do_Rio_de_Janeiro),352.22,59.0,0.835
142,https://pt.wikipedia.org/wiki/Cavalcante_(bairro_do_Rio_de_Janeiro),352.22,59.0,0.835
143,https://pt.wikipedia.org/wiki/Cascadura_(bairro_do_Rio_de_Janeiro),352.22,59.0,0.835
144,https://pt.wikipedia.org/wiki/Coelho_Neto_(bairro_do_Rio_de_Janeiro),251.2,32.0,0.806
145,https://pt.wikipedia.org/wiki/Col%C3%A9gio_(bairro_do_Rio_de_Janeiro),251.2,32.0,0.806
146,https://pt.wikipedia.org/wiki/Complexo_do_Alem%C3%A3o,251.2,32.0,0.806
147,https://pt.wikipedia.org/wiki/Cordovil,251.2,32.0,0.806
148,https://pt.wikipedia.org/wiki/Costa_Barros,181.48,28.0,0.713
149,https://pt.wikipedia.org/wiki/Engenheiro_Leal,181.48,28.0,0.713
150,https://pt.wikipedia.org/wiki/Engenho_da_Rainha,181.48,28.0,0.713
151,https://pt.wikipedia.org/wiki/Guadalupe_(bairro_do_Rio_de_Janeiro),382.0,47.0,0.81
152,https://pt.wikipedia.org/wiki/Hon%C3%B3rio_Gurgel_(bairro_do_Rio_de_Janeiro),137.48,21.0,0.804
153,https://pt.wikipedia.org/wiki/Inha%C3%BAma_(bairro_do_Rio_de_Janeiro),348.53,45.0,0.81
154,https://pt.wikipedia.org/wiki/Iraj%C3%A1_(bairro_do_Rio_de_Janeiro),348.53,45.0,0.81
155,https://pt.wikipedia.org/wiki/Jardim_Am%C3%A9rica_(bairro_do_Rio_de_Janeiro),197.4,25.0,0.839
156,https://pt.wikipedia.org/wiki/Madureira_(bairro_do_Rio_de_Janeiro),378.76,50.0,0.831
157,https://pt.wikipedia.org/wiki/Marechal_Hermes,378.76,50.0,0.831
158,https://pt.wikipedia.org/wiki/Oswaldo_Cruz_(bairro_do_Rio_de_Janeiro),378.76,50.0,0.831
159,https://pt.wikipedia.org/wiki/Parada_de_Lucas,219.8,23.0,0.745
160,https://pt.wikipedia.org/wiki/Parque_Anchieta,390.58,26.0,0.833
161,https://pt.wikipedia.org/wiki/Parque_Col%C3%BAmbia,390.58,26.0,0.833
162,https://pt.wikipedia.org/wiki/Pavuna,831.14,120.0,0.79
163,https://pt.wikipedia.org/wiki/Penha_(bairro_do_Rio_de_Janeiro),831.14,120.0,0.79
164,https://pt.wikipedia.org/wiki/Penha_Circular,462.34,47.0,0.826
165,https://pt.wikipedia.org/wiki/Quintino_Bocaiuva_(bairro_do_Rio_de_Janeiro),462.34,47.0,0.826
166,https://pt.wikipedia.org/wiki/Ricardo_de_Albuquerque,211.69,29.0,0.807
167,https://pt.wikipedia.org/wiki/Rocha_Miranda,211.69,29.0,0.807
168,https://pt.wikipedia.org/wiki/Tom%C3%A1s_Coelho_(bairro),211.69,29.0,0.807
169,https://pt.wikipedia.org/wiki/Turia%C3%A7u_(bairro_do_Rio_de_Janeiro),211.69,29.0,0.807
170,https://pt.wikipedia.org/wiki/Vaz_Lobo,211.69,29.0,0.807
171,https://pt.wikipedia.org/wiki/Vicente_de_Carvalho_(bairro_do_Rio_de_Janeiro),211.69,29.0,0.807
172,https://pt.wikipedia.org/wiki/Vig%C3%A1rio_Geral,211.69,29.0,0.807
173,https://pt.wikipedia.org/wiki/Vila_da_Penha,143.57,,0.909
174,https://pt.wikipedia.org/wiki/Vila_Kosmos,143.57,,0.909
175,https://pt.wikipedia.org/wiki/Vista_Alegre_(bairro_do_Rio_de_Janeiro),143.57,,0.909
